PSFType,Param1Name,Param1Value,Param2Name,Param2Value,NSR,LapVar,Tenengrad,HighFreqRatio,Mean,Std,Entropy,SaturationRatio,ClipRatio,LapGain,TenengradGain,HighFreqGain,NoiseGain,Score
motion,LEN,7,THETA,5,0.1,0.00912150912139711,0.162820236121316,0.0049373536719038,0.445586720651357,0.143892986176768,7.13106576379261,0.00159465020576132,0.000576131687242798,1.09502704488916,1.31371006926588,1.42835234043524,1.097677137048,0.534350208369652
motion,LEN,31,THETA,80,0.03,0.0088647825785077,0.248792368072599,0.00427540237976414,0.47489248702678,0.1722571385626,7.41624856184546,0.0128600823045267,0.00998971193415638,1.06420730838905,2.00737357271703,1.23685305960344,1.14038440065102,0.532512858671358
motion,LEN,27,THETA,65,0.03,0.011211739902369,0.287987830014796,0.00498344257304848,0.474945888938326,0.175032677494068,7.42248760165113,0.0168004115226337,0.012798353909465,1.34595692992922,2.3236209523402,1.44168563478535,1.25844391306394,0.532460355787604
motion,LEN,29,THETA,85,0.03,0.0102639058128272,0.270862979836328,0.00496594248884977,0.475013104146063,0.172712821830102,7.42119172094403,0.0132201646090535,0.0102572016460905,1.23217049960252,2.18544962517568,1.43662294576526,1.22267588723125,0.532058999247185
motion,LEN,35,THETA,-90,0.03,0.00872777890735633,0.230169798230334,0.00433789085345713,0.474860544593465,0.172216944625986,7.42369091105965,0.0122736625514403,0.00917695473251029,1.0477601697453,1.85711794049229,1.25493067031979,1.11389701126227,0.529906639027852
motion,LEN,35,THETA,90,0.03,0.00872777890735633,0.230169798230334,0.00433789085345713,0.474860544593465,0.172216944625986,7.42369091105965,0.0122736625514403,0.00917695473251029,1.0477601697453,1.85711794049229,1.25493067031979,1.11389701126227,0.529906639027852
motion,LEN,29,THETA,-60,0.03,0.00972258205523295,0.26561471225238,0.00396725079937401,0.474883528673042,0.17598850934167,7.42689765237134,0.0166975308641975,0.0131378600823045,1.1671851833881,2.14310413953164,1.14770631008785,1.16601422581499,0.529517294032097
motion,LEN,31,THETA,55,0.03,0.0104617980030734,0.270154628917399,0.00446639772870326,0.47439647564884,0.178508623419259,7.43028098623378,0.0208230452674897,0.0165329218106996,1.25592723737562,2.17973431756442,1.29210708266884,1.20348961220066,0.527514696939611
motion,LEN,33,THETA,-20,0.03,0.0115674625417591,0.275588650784291,0.00399276392564774,0.47439773951669,0.183364360937999,7.43670196768323,0.0246090534979424,0.0197427983539095,1.38866103792575,2.22357855592941,1.1550871331049,1.24403394622896,0.527051179310773
motion,LEN,29,THETA,-80,0.03,0.00922607898939577,0.261929494735799,0.00438499915739136,0.474953921274062,0.172711710414042,7.41700859801738,0.0134156378600823,0.0101954732510288,1.10758054146687,2.11337007530046,1.26855887292583,1.16824868232266,0.52694850643826
motion,LEN,31,THETA,50,0.03,0.0104441230784942,0.268226033740715,0.004411946011834,0.474374808847615,0.17900870699641,7.42848615539191,0.0215329218106996,0.0166872427983539,1.25380538229955,2.16417350667566,1.27635446651062,1.20490063793904,0.524250833370946
motion,LEN,35,THETA,40,0.03,0.0121202859274079,0.278339727386518,0.00469548357967382,0.474182138685987,0.182710550976552,7.45149020932008,0.0227057613168724,0.0180349794238683,1.45502687172321,2.24577553291312,1.35838050222484,1.27182937240886,0.521786160908122
motion,LEN,27,THETA,-80,0.03,0.0104402740094719,0.282522968917787,0.00491181610214604,0.474901093933252,0.173062216287489,7.41820897289325,0.0134876543209877,0.0105144032921811,1.25334330583601,2.27952788859516,1.42096444603746,1.23780171606251,0.521073463360981
motion,LEN,35,THETA,30,0.03,0.0119577906254205,0.269059322709397,0.00446081601186436,0.473686704709602,0.182793991737702,7.42640422982015,0.0255761316872428,0.0206378600823045,1.43551949109402,2.17089687310015,1.29049231920641,1.25566255280225,0.519525175731643
motion,LEN,33,THETA,50,0.03,0.0115268939253335,0.277289195156454,0.00483504699488524,0.474409192526626,0.180715130459963,7.43980363616421,0.0223971193415638,0.0172942386831276,1.38379082055618,2.23729934591328,1.39875551766899,1.25457291264701,0.519132307808676
motion,LEN,35,THETA,55,0.03,0.00971071439909186,0.252055041556186,0.00431963946270567,0.474376025650196,0.179975089405393,7.44658286399152,0.02059670781893,0.0158333333333333,1.1657604844418,2.03369835340904,1.24965063197771,1.16199738556452,0.519002121811172
motion,LEN,27,THETA,75,0.03,0.0101805299417673,0.274695901025322,0.0048693386963048,0.474788146713817,0.172688351129945,7.40968277325528,0.0147942386831276,0.0113991769547325,1.22216131883137,2.2163754319466,1.40867593966729,1.21762241319859,0.515839109644369
motion,LEN,7,THETA,-5,0.1,0.0088112320110831,0.162224333234358,0.00482003262468921,0.445586870684744,0.14380526386307,7.13014923188949,0.0015843621399177,0.000637860082304527,1.05777862221238,1.30890204514339,1.39441193358837,1.08506017729773,0.514425589355695
motion,LEN,29,THETA,50,0.03,0.0115494085747304,0.278569859458608,0.00492092321355693,0.474312470455357,0.17826553997887,7.42220381798382,0.0212345679012346,0.0168827160493827,1.38649367922437,2.24763234646141,1.42359908895809,1.25425715410172,0.508467204017097
